ā bà	阿壩
yīn diàn zhèn	殷店鎮
yìn dòu zhèn	印鬥鎮
yīn dū qū	殷都區
yìn dù zhàn	印度站
yín duō xiāng	銀多鄉
yín ēn xiāng	銀恩鄉
yín fāng zhèn	銀坊鎮
yǐn gǎng zhèn	尹崗鎮
yín hǎi qū	銀海區
yín hàn zhèn	銀漢鎮
yín hào zhèn	銀號鎮
yín hé zhèn	銀河鎮
yín hú wān	銀湖灣
yín huā zhèn	銀花鎮
yīn huì zhèn	殷匯鎮
yǐn jí xiāng	尹集鄉
yǐn jí zhèn	尹集鎮
yīn jiā bǎo	殷家堡
yǐn jiā zhèn	尹家鎮
yīn jiàn zhèn	殷澗鎮
yìn jiāng xiàn	印江縣
yín jiāng zhèn	鄞江鎮
yín jiāng zhèn	銀江鎮
yín jiē zhèn	寅街鎮
yīn kēng xiāng	音坑鄉
yín kēng zhèn	銀坑鎮
yīn liū zhèn	洇溜鎮
yìn mǎ zhèn	飲馬鎮
yǐn mǎ zhèn	引馬鎮
yīn mín zhèn	因民鎮
yīn péng xiāng	殷棚鄉
yín píng zhèn	銀屏鎮
yīn píng zhèn	陰平鎮
yīn píng zhèn	蔭平鎮
yín qiáo zhèn	銀橋鎮
yín shān zhèn	銀山鎮
yín sì zhèn	寅寺鎮
yìn tái qū	印臺區
yín tān zhèn	銀灘鎮
yìn táng xiāng	印塘鄉
yín táng zhèn	銀塘鎮
yīn tián xiāng	陰田鄉
yǐn tián zhàn	引田站
yín tián zhèn	銀田鎮
yīn tián zhèn	蔭田鎮
yín tú zhèn	銀塗鎮
yǐn xián zhèn	隱賢鎮
yīn xiàng zhèn	殷巷鎮
yīn yíng zhèn	蔭營鎮
yīn yuǎn zhèn	因遠鎮
yīn yuè zhàn	音樂站
yín zhǎn zhèn	銀盞鎮
yín zhōu qū	鄞州區
yín zhōu qū	銀州區
yǐn zhuāng xiāng	尹莊鄉
yìn zhuāng zhèn	印莊鎮
yǐn zhuāng zhèn	尹莊鎮
yìn zi zhèn	蔭子鎮
yīn zǔ zhèn	殷祖鎮
yín zuò zhàn	銀座站
yīng ān zhèn	英安鎮
yíng ān zhèn	迎安鎮
yīng bèi zhèn	鷹背鎮
yīng chéng shì	應城市
yīng chéng xiàn	應城縣
yǐng chéng zhèn	郢城鎮
yīng chuān zhèn	英川鎮
yíng chūn zhèn	迎春鎮
yīng cuì zhèn	英萃鎮
yīng cūn xiāng	應村鄉
yīng dé shì	英德市
yīng dé xiàn	英德縣
yǐng dōng qū	潁東區
yīng dōu zhèn	英都鎮
yíng fēng zhèn	迎豐鎮
yīng gé bǎo	英格堡
yīng gē qū	鶯歌區
yīng gē zhèn	鸚鴿鎮
yíng gēn zhèn	營根鎮
yíng guāng xiāng	迎光鄉
yīng guó zhàn	英國站
yīng háo zhèn	英豪鎮
yíng hé zhèn	迎河鎮
yīng hóng zhèn	英紅鎮
yíng hú zhèn	瀛湖鎮
yíng huá zhèn	鎣華鎮
yīng jiā xiāng	應家鄉
yíng jiāng qū	迎江區
yíng jiāng xiàn	盈江縣
yīng jiāng xiāng	英將鄉
yíng jiē zhèn	迎接鎮
yíng jīng xiàn	滎經縣
yīng jǐng zhàn	櫻井站
yìng jǔ zhèn	應舉鎮
yīng jùn zhèn	英俊鎮
yíng kǒu xiàn	營口縣
yíng kǒu xiāng	盈口鄉
yíng lǐ xiāng	營裡鄉
yíng lǐ zhèn	營裡鎮
yīng lì zhèn	英利鎮
yīng lín zhèn	英林鎮
yíng lóng zhèn	迎龍鎮
yīng luò zhèn	英落鎮
yíng pán xiāng	營盤鄉
yíng pán zhèn	營盤鎮
yíng qián zhèn	營前鎮
yīng qiáo zhèn	英橋鎮
yīng qiū zhàn	櫻丘站
yíng qiū zhèn	營丘鎮
yǐng quán qū	潁泉區
yíng shān xiàn	營山縣
yīng shān xiàn	英山縣
yīng shān xiàn	應山縣
yīng shān xiāng	英山鄉
yǐng shān zhèn	影山鎮
yǐng shàng xiàn	潁上縣
yǐng shàng xiàn	穎上縣
yíng shàng zhèn	營上鎮
yíng tān xiāng	營灘鄉
yíng tián zhèn	營田鎮
yíng tóu zhèn	營頭鎮
yīng wàng xiāng	英旺鄉
yīng wǔ zhèn	英武鎮
yīng xià xiāng	英下鄉
yíng xiān zhèn	迎仙鎮
yìng xiù zhèn	映秀鎮
yīng yán zhèn	英言鎮
yǐng yáng zhèn	潁陽鎮
yíng zǎi zhèn	營仔鎮
yíng zé qū	迎澤區
yíng zhèng xiāng	迎政鄉
yǐng zhōu qū	潁州區
yíng zhōu zhèn	瀛洲鎮
yīng zhōu zhèn	英州鎮
yīng zhuāng zhèn	英莊鎮
yíng zi xiāng	營子鄉
yǒng ān bǎo	永安堡
yǒng ān cūn	永安村
yǒng ān qū	永安區
yǒng ān shì	永安市
yǒng ān xiàn	永安縣
yǒng ān xiāng	永安鄉
yǒng ān zhàn	永安站
yǒng ān zhèn	永安鎮
yōng bā xiāng	擁巴鄉
yǒng bǎo zhèn	湧寶鎮
yǒng běi zhèn	永北鎮
yǒng chāng bǎo	永昌堡
yǒng chāng xiàn	永昌縣
yǒng chāng zhèn	永昌鎮
yǒng chéng shì	永城市
yǒng chéng xiàn	永城縣
yǒng chéng zhèn	永城鎮
yǒng chuān qū	永川區
yǒng chuān xiàn	永川縣
yǒng chuān zhàn	永川站
yōng chuān zhèn	雍川鎮
yǒng chūn xiàn	永春縣
yǒng chūn xiāng	永春鄉
yǒng chūn zhèn	永春鎮
yǒng cóng zhèn	永從鎮
yōng cuì xiāng	擁翠鄉
yǒng dé xiàn	永德縣
yǒng dēng xiàn	永登縣
yǒng diān zhèn	永甸鎮
yǒng dìng qū	永定區
yǒng dìng xiàn	永定縣
yǒng dìng zhèn	永定鎮
yǒng dòng zhèn	湧洞鎮
yǒng fā xiāng	永發鄉
yǒng fā zhèn	永發鎮
yǒng fēng xiàn	永豐縣
yǒng fēng xiāng	永豐鄉
yǒng fēng zhàn	永豐站
yǒng fēng zhèn	永豐鎮
yǒng fú xiàn	永福縣
yǒng fú zhàn	永福站
yǒng fù zhèn	永富鎮
yǒng fú zhèn	永福鎮
yǒng gù xiāng	永固鄉
yǒng gù zhèn	永堌鎮
yǒng gù zhèn	永固鎮
yǒng guāng zhèn	永光鎮
yǒng hàn zhèn	永漢鎮
yǒng hé qū	永和區
yǒng hé xiàn	永和縣
yǒng hé xiāng	永和鄉
yǒng hé zhèn	永和鎮
yǒng héng xiāng	永恆鄉
yǒng hóng xiāng	永紅鄉
yǒng hú zhèn	永湖鎮
yǒng jì shì	永濟市
yǒng jí xiàn	永吉縣
yǒng jì xiàn	永濟縣
yǒng jí xiāng	永吉鄉
yǒng jì zhèn	永濟鎮
yǒng jiā xiàn	永嘉縣
yǒng jiā xiāng	永加鄉
yǒng jiā zhèn	永嘉鎮
yǒng jiàn zhèn	永建鎮
yǒng jìng xiàn	永靖縣
yǒng jìng xiāng	永靖鄉
yǒng jìng zhèn	永靖鎮
yǒng jiǔ xiāng	永久鄉
yǒng jiǔ zhèn	永久鎮
yǒng kāng qū	永康區
yǒng kāng shì	永康市
yǒng kāng xiàn	永康縣
yǒng kāng zhèn	永康鎮
yǒng láng zhèn	永郎鎮
yǒng lè xiāng	永樂鄉
yǒng lè zhàn	永樂站
yǒng lè zhèn	永樂鎮
yǒng líng zhèn	永陵鎮
yǒng lóng xiāng	永隆鄉
yǒng lóng zhèn	永漋鎮
yǒng mào xiāng	永茂鄉
yǒng mào zhèn	永茂鎮
yǒng míng zhèn	永明鎮
yǒng nián qū	永年區
yǒng nián xiàn	永年縣
yǒng nián zhèn	永年鎮
yōng níng qū	邕寧區
yǒng níng xiàn	永寧縣
yōng níng xiàn	邕寧縣
yǒng níng xiāng	永寧鄉
yǒng níng zhèn	永寧鎮
yǒng píng xiàn	永平縣
yǒng píng xiāng	永平鄉
yǒng píng zhèn	永平鎮
yǒng píng zhèn	永坪鎮
yǒng qiáo qū	埇橋區
yǒng qín xiāng	永勤鄉
yǒng qīng xiàn	永清縣
yǒng qìng xiāng	永慶鄉
yǒng qīng zhèn	永清鎮
yǒng qǔ xiāng	永曲鄉
yǒng quán xiāng	湧泉鄉
yǒng quán zhèn	湧泉鎮
yǒng rén xiàn	永仁縣
yǒng róng zhèn	永榮鎮
yǒng shàn xiàn	永善縣
yǒng shān zhàn	永山站
yǒng shān zhèn	湧山鎮
yǒng shāng zhèn	永商鎮
yǒng shèng xiàn	永勝縣
yǒng shèng xiàn	永盛縣
yǒng shèng xiāng	永勝鄉
yǒng shèng zhèn	永勝鎮
yǒng shèng zhèn	永盛鎮
yǒng shòu xiàn	永壽縣
yǒng shòu zhèn	永壽鎮
yǒng shǔ dǎo	永暑島
yǒng shùn xiàn	永順縣
yǒng shùn zhèn	永順鎮
yǒng suì zhèn	永歲鎮
yǒng tài xiàn	永泰縣
yǒng tài zhàn	永泰站
yǒng tài zhèn	永太鎮
yǒng tài zhèn	永泰鎮
yǒng wēn zhèn	永溫鎮
yǒng xī xiāng	泳溪鄉
yǒng xī xiāng	湧溪鄉
yōng xī zhèn	雍溪鎮
yǒng xiāng zhèn	永鄉鎮
yǒng xīn xiàn	永新縣
yǒng xīn xiāng	永新鄉
yǒng xīn zhèn	永新鎮
yǒng xīng xiàn	永興縣
yǒng xīng zhàn	永興站
yǒng xīng zhèn	永興鎮
yǒng xīng zhèn	湧興鎮
yǒng xiū xiàn	永修縣
yǒng yáng zhèn	永陽鎮
yǒng yuán zhèn	永源鎮
yǒng zhèn zhèn	永鎮鎮
yǒng zhèng zhèn	永正鎮
yǒng zhōu zhàn	永州站
yǒng zhōu zhèn	永州鎮
yǒu ài zhèn	友愛鎮
yóu bà xiāng	油壩鄉
yóu bù zhèn	遊埠鎮
yóu chéng xiāng	遊城鄉
yǒu chóu zhèn	酉酬鎮
yóu diàn xiāng	尤店鄉
yóu fáng zhèn	油坊鎮
yóu fèng zhèn	遊鳳鎮
yǒu gǎng zhèn	酉港鎮
yóu gé hé	尤格河
yǒu hǎo qū	友好區
yóu hé xiāng	遊河鄉
yǒu huá zhèn	酉華鎮
yóu jí zhèn	遊集鎮
yóu jiā cūn	尤家村
yóu jiā tún	尤家屯
yóu jiā zhèn	遊家鎮
yòu jiāng qū	右江區
yòu jūn zhèn	佑君鎮
yóu kǎ tǎn	尤卡坦
yóu kè hé	尤克河
yóu lā hé	尤拉河
yōu lán zhèn	幽蘭鎮
yóu lǐ kǎ	尤里卡
yǒu lín xiāng	友鄰鄉
yōu luò xiàn	優洛縣
yóu mǎ xiàn	尤馬縣
yóu má zhèn	油麻鎮
yòu píng xiāng	幼平鄉
yóu qià xiāng	油恰鄉
yǒu qìng zhèn	有慶鎮
yóu shān zhèn	油山鎮
yōu shèng zhèn	優勝鎮
yóu shí xiāng	油石鄉
yòu shuǐ xiāng	右水鄉
yóu sī dùn	尤斯頓
yóu sī hú	尤斯湖
yòu suǒ xiāng	右所鄉
yòu suǒ zhèn	右所鎮
yóu táng zhàn	油塘站
yóu tè xiàn	尤特縣
yóu tián zhèn	油田鎮
yóu tíng zhèn	郵亭鎮
yóu wàng zhèn	由旺鎮
yòu wèi zhèn	右衛鎮
yóu xī xiàn	尤溪縣
yóu xī xiāng	油溪鄉
yóu xī zhèn	尤溪鎮
yóu xī zhèn	遊溪鎮
yǒu xī zhèn	酉溪鎮
yóu xī zhèn	油溪鎮
yóu xiān qū	遊仙區
yòu xīn zhèn	又新鎮
yǒu yáng xiàn	酉陽縣
yóu yáng xiāng	油洋鄉
yóu yáng zhèn	遊洋鎮
yǒu yì xiàn	友誼縣
yǒu yì xiāng	友誼鄉
yǒu yì zhàn	友誼站
yǒu yì zhèn	友誼鎮
yòu yù xiàn	右玉縣
yōu yún xiāng	優雲鄉
yǒu zǎi zhèn	友宰鎮
yóu zhà zhèn	油榨鎮
yóu zhāng cūn	尤彰村
yóu zhào xiāng	油召鄉
yóu zhuāng cūn	尤莊村
yù ān qū	裕安區
yú běi qū	渝北區
yǔ chéng qū	雨城區
yǔ chéng shì	禹城市
yú chéng xiàn	虞城縣
yǔ chéng xiàn	禹城縣
yú chéng xiāng	虞丞鄉
yú chéng zhèn	於城鎮
yù chéng zhèn	域城鎮
yú chéng zhèn	魚城鎮
yú chí xiāng	魚池鄉
yú chí zhèn	魚池鎮
yǔ chōng xiāng	雨衝鄉
yú chuān zhàn	魚川站
yú chuān zhèn	餘川鎮
yú cì qū	榆次區
yú cì xiàn	榆次縣
yú cì zhàn	榆次站
yú cūn xiāng	榆村鄉
yú cūn zhèn	於村鎮
yú cūn zhèn	俞村鎮
yǔ cūn zhèn	禹村鎮
yù dài xiāng	玉帶鄉
yú dì xiāng	腴地鄉
yú diàn zhèn	餘店鎮
yú dīng xiāng	餘丁鄉
yú dòng xiāng	魚洞鄉
yù dòng zhàn	玉洞站
yú dōng zhèn	餘東鎮
yù dǒu zhèn	玉斗鎮
yù dōu zhèn	玉都鎮
yú dū xiàn	於都縣
yú dù zhèn	漁渡鎮
yú duàn xiāng	餘段鄉
yù duàn xiāng	育塅鄉
yú duǒ zhèn	俞垛鎮
yǔ duǒ zhèn	雨朵鎮
yú fá zhèn	榆垡鎮
yú fāng xiāng	餘坊鄉
yú fēng qū	魚峰區
yú fēng xiāng	魚峰鄉
yù fèng zhèn	玉鳳鎮
yù fēng zhèn	玉豐鎮
yù fēng zhèn	玉峰鎮
yú fū bǎo	漁夫堡
yú gàn xiàn	餘干縣
yù gǎng zhèn	玉崗鎮
yú gōng xiāng	愚公鄉
yú gōu zhèn	漁溝鎮
yù gū tái	鬱孤臺
yú guān xiāng	虞關鄉
yú guān zhèn	榆關鎮
yú guān zhèn	餘關鎮
yù hǎi zhèn	豫海鎮
yú háng lù	餘杭路
yú háng qū	余杭區
yú háng shì	餘杭市
yú háng táng	餘杭塘
yú háng xiàn	余杭縣
yú háng zhàn	餘杭站
yù hé zhèn	玉河鎮
yù hé zhèn	峪河鎮
yǔ hé zhèn	雨河鎮
yù hé zhèn	裕河鎮
yú hé zhèn	魚河鎮
yú hóng qū	于洪區
yǔ hú qū	雨湖區
yù hú zhèn	玉壺鎮
yù hú zhèn	玉湖鎮
yǔ huā qū	雨花區
yù huá qū	裕華區
yù huán shì	玉環市
yù huán xiàn	玉環縣
yù huáng xiāng	玉皇鄉
yǔ huì qū	禹會區
yú jí xiāng	於集鄉
yú jí zhèn	於集鎮
yú jī zhèn	餘積鎮
yú jí zhèn	餘集鎮
yú jī zhèn	虞姬鎮
yú jiā bǎo	于家堡
yú jiā diàn	余家店
yú jiā hú	余家湖
yú jiā píng	余家坪
yú jiā qiáo	余家橋
yú jiā tóu	余家頭
yú jiā wān	余家灣
yú jiā xiāng	于家鄉
yú jiā zhèn	于家鎮
yú jiā zhèn	余家鎮
yú jiā zhuāng	余家莊
yù jiāng dào	鬱江道
yù jiāng qiáo	鬱江橋
yú jiāng qū	餘江區
yú jiāng xiàn	餘江縣
yù jiāng zǔ	鬱江組
yù jiào zhèn	玉窖鎮
yú jīn zhàn	魚津站
yù jīn zhèn	玉津鎮
yù jǐng qū	玉井區
yù jǐng zhèn	玉井鎮
yú jǐng zhèn	餘井鎮
yú kē zhèn	榆科鎮
yù kē zhèn	玉科鎮
yù kǒu xiāng	峪口鄉
yù kǒu zhèn	峪口鎮
yù lán zhèn	毓蘭鎮
yú lào zhèn	漁澇鎮
yù lěi xiāng	玉壘鄉
yù lí xiàn	尉犁縣
yù lí zhèn	育黎鎮
yú lǐ zhèn	於裏鎮
yǔ lǐ zhèn	禹裏鎮
yù lí zhèn	尉犁鎮
yù lǐ zhèn	玉里鎮
yú liáng bǎo	餘糧堡
yù lín jùn	鬱林郡
yú lín xiàn	榆林縣
yù lín xiàn	玉林縣
yù lín xiāng	育林鄉
yú lín xiāng	榆林鄉
yú lín xiāng	魚鱗鄉
yú lín zhàn	榆林站
yú lín zhèn	榆林鎮
yù lín zhèn	御臨鎮
yù lín zhōu	鬱林州
yù líng dǎo	鬱陵島
yù líng jùn	鬱陵郡
yú lǐng xiāng	榆嶺鄉
yù líng zhèn	豫靈鎮
yǔ lǐng zhèn	庾嶺鎮
yù lóng xiàn	玉龍縣
yù lóng xiāng	玉隆鄉
yù lóng zhèn	豫龍鎮
yù lóng zhèn	玉龍鎮
yú lóng zhèn	魚龍鎮
yǔ lù xiāng	雨碌鄉
yù mài xiāng	玉麥鄉
yù mài zhèn	玉麥鎮
yù mén shì	玉門市
yú mén zhèn	漁門鎮
yù mén zhèn	玉門鎮
yú mǐ xiāng	魚米鄉
yù mín xiàn	裕民縣
yù mín xiāng	育民鄉
yù mín zhèn	裕民鎮
yǔ mó zhèn	禹謨鎮
yú nán hú	余南湖
yù nán xiàn	鬱南縣
yú pán zhèn	榆盤鎮
yú péng xiāng	餘朋鄉
yù píng xiàn	玉屏縣
yù píng xiāng	玉坪鄉
yù píng zhàn	玉屏站
yú píng zhèn	餘坪鎮
yù píng zhèn	玉屏鎮
yù pǔ xiāng	玉普鄉
yú qián zhèn	於潛鎮
yú qiáo zhèn	於橋鎮
yú qìng hé	余慶河
yú qìng lǐ	余慶里
yú qìng lóu	余慶樓
yú qìng lù	余慶路
yú qìng qiáo	餘慶橋
yú qìng táng	餘慶堂
yú qìng xiàn	餘慶縣
yù quán qū	玉泉區
yù quán zhàn	玉泉站
yù quán zhèn	玉泉鎮
yú quán zhèn	魚泉鎮
yù quán zhèn	峪泉鎮
yú rén bǎo	漁人堡
yǔ rùn zhèn	雨潤鎮
yǔ shān qū	雨山區
yù shān xiàn	玉山縣
yú shān xiāng	漁山鄉
yù shān zhàn	玉山站
yú shān zhèn	虞山鎮
yù shān zhèn	玉山鎮
yú shān zhèn	嵛山鎮
yù shān zhèn	峪山鎮
yù shān zhèn	鬱山鎮
yú shān zhèn	魚山鎮
yǔ shān zhèn	禹山鎮
yū shàng xiāng	淤上鄉
yú shè xiàn	榆社縣
yù shě zhèn	玉舍鎮
yú shì tīng	餘市町
yù shí zhàn	玉石站
yú shì zhèn	魚市鎮
yù shù shì	玉樹市
yú shù shì	榆樹市
yù shù xiàn	玉樹縣
yú shù xiàn	榆樹縣
yú shù xiāng	榆樹鄉
yú shù zhèn	榆樹鎮
yú shuǐ qū	渝水區
yù shuǐ zhàn	玉水站
yù shuǐ zhèn	玉水鎮
yú sì zhèn	於寺鎮
yù sì zhèn	喻寺鎮
yú sōng lù	余松路
yú tái xiàn	魚臺縣
yù tái zhèn	玉臺鎮
yù tán zhèn	玉潭鎮
yǔ tán zhèn	雨壇鎮
yú táng zhèn	虞唐鎮
yú táng zhèn	魚塘鎮
yù tián xiàn	玉田縣
yú tián xiàn	於田縣
yù tián zhèn	玉田鎮
yú tián zhèn	雩田鎮
yù tíng xiāng	玉亭鄉
yú tíng zhèn	漁亭鎮
yù tíng zhèn	玉亭鎮
yú tōng zhèn	魚通鎮
yǔ tóu xiāng	嶼頭鄉
yù tún zhèn	喻屯鎮
yù wǎ xiāng	玉瓦鄉
yú wān xiāng	餘灣鄉
yù wǎn zhèn	玉碗鎮
yǔ wáng zhèn	禹王鎮
yù wàng zhèn	預旺鎮
yú wú zhèn	餘吾鎮
yù xī xiàn	玉溪縣
yù xī xiāng	裕溪鄉
yù xī xiāng	玉西鄉
yū xī zhèn	淤溪鎮
yú xī zhèn	漁溪鎮
yù xī zhèn	玉溪鎮
yú xī zhèn	魚溪鎮
yú xiāng zhèn	虞鄉鎮
yù xīn zhàn	育新站
yù xīn zhèn	育新鎮
yú xīn zhèn	餘新鎮
yú xīn zhèn	漁薪鎮
yù xīng zhèn	玉興鎮
yù xǔ xiāng	玉許鄉
yù yán zhèn	玉岩鎮
yú yáng qū	榆陽區
yú yáng xiàn	漁陽縣
yú yáng zhèn	漁陽鎮
yú yáng zhèn	漁洋鎮
yú yáo běi	餘姚北
yú yáo jiāng	餘姚江
yú yáo lù	餘姚路
yú yáo shì	余姚市
yú yáo xiàn	余姚縣
yú yáo zhàn	余姚站
yú yè shè	漁業社
yú yuán xiāng	俞源鄉
yù yuán zhàn	豫園站
yù yuán zhèn	玉園鎮
yǔ yuè zhèn	禹越鎮
yú yuè zhèn	魚嶽鎮
yú zé zhèn	漁澤鎮
yú zhái xiāng	虞宅鄉
yǔ zhāng zhèn	雨樟鎮
yǔ zhèn zhèn	圉鎮鎮
yú zhèng zhàn	漁政站
yú zhōng qū	渝中區
yú zhōng xiàn	榆中縣
yù zhōu qū	玉州區
yǔ zhōu shì	禹州市
yǔ zhòu zhàn	宇宙站
yú zhuāng xiāng	餘莊鄉
yú zì xiāng	餘字鄉
yú zuǐ zhèn	魚嘴鎮
yuǎn ān xiàn	遠安縣
yuán ān zhèn	原安鎮
yuán bà zhèn	元壩鎮
yuán bǎo qū	元寶區
yuán bǎo xiāng	元堡鄉
yuàn bǎo zhèn	院堡鎮
yuán bǎo zhèn	元寶鎮
yuán cháng xiāng	元長鄉
yuán chéng qū	源城區
yuán chéng zhèn	元城鎮
yuán chōng xiāng	袁衝鄉
yuán cūn xiāng	原村鄉
yuán cūn zhàn	員村站
yuán cūn zhèn	元村鎮
yuán cūn zhèn	源村鎮
yuǎn dà zhèn	遠大鎮
yuān dà zhèn	鴛大鎮
yuán diàn zhèn	原店鎮
yuán dōng xiāng	源東鄉
yuán dù zhèn	袁渡鎮
yuán dūn zhèn	元墩鎮
yuán fāng xiāng	源芳鄉
yuán fāng xiāng	袁坊鄉
yuán gōng hé	袁公河
yuán gōng zhèn	原公鎮
yuán gù zhèn	元固鎮
yuán hé zhèn	沅河鎮
yuán hòu zhèn	元厚鎮
yuán huā zhèn	袁花鎮
yuán huì qū	源匯區
yuán jí zhèn	袁集鎮
yuán jiā bǎo	袁家堡
yuán jiā gǎng	袁家崗
yuán jiā gōu	袁家溝
yuán jiā jiè	袁家界
yuán jiā lǐng	袁家嶺
yuán jiā shān	袁家山
yuán jiā zhèn	袁家鎮
yuán jiāng shì	沅江市
yuán jiāng xiàn	元江縣
yuán jiāng xiàn	沅江縣
yuǎn jué zhèn	遠覺鎮
yuán kāng zhèn	原康鎮
yuán kēng zhèn	元坑鎮
yuǎn kǒu zhèn	遠口鎮
yuán lǎng qū	元朗區
yuán lǎng zhàn	元朗站
yuán lǎo xiāng	袁老鄉
yuàn lǐ zhèn	苑裡鎮
yuán lín shì	員林市
yuán líng xiàn	沅陵縣
yuán líng zhèn	沅陵鎮
yuán lóng zhèn	元龍鎮
yuán mǎ zhèn	元馬鎮
yuán mén xiāng	元門鄉
yuǎn mén zhèn	遠門鎮
yuán mèng zhàn	圓夢站
yuán móu xiàn	元謀縣
yuán nán xiāng	源南鄉
yuán nán zhèn	源南鎮
yuán píng shì	原平市
yuán píng xiàn	原平縣
yuán píng zhàn	原平站
yuàn qián zhèn	苑前鎮
yuán qiáng zhèn	原牆鎮
yuàn qiáo zhèn	院橋鎮
yuán qiáo zhèn	袁橋鎮
yuán qū xiàn	垣曲縣
yuán qū zhàn	園區站
yuán quán zhèn	源泉鎮
yuān quán zhèn	淵泉鎮
yuán shān xiāng	員山鄉
yuán shàn zhèn	元善鎮
yuán shān zhèn	元山鎮
yuàn shàng zhèn	院上鎮
yuán shì xiàn	元氏縣
yuán shí xiàn	圓石縣
yuán shì zhèn	袁市鎮
yuán tái zhèn	元臺鎮
yuán tán zhàn	源潭站
yuán tán zhèn	源潭鎮
yuán tán zhèn	元潭鎮
yuán tīng zhàn	原町站
yuán tōng zhàn	元通站
yuán tōng zhèn	元通鎮
yuàn tóu zhèn	院頭鎮
yuán tóu zhèn	源頭鎮
yuán tuǎn zhèn	元疃鎮
yuán wū biān	袁屋邊
yuán wǔ zhèn	原武鎮
yuān xī zhèn	鴛溪鎮
yuán xiāng xiāng	原相鄉
yuǎn xiāng zhèn	遠襄鎮
yuán yáng xiàn	元陽縣
yuán yáng xiàn	原陽縣
yuān yāng xiāng	鴛鴦鄉
yuān yāng zhèn	鴛鴦鎮
yuán yì chǎng	園藝場
yuán yì zhèn	袁驛鎮
yuán yì zhèn	園藝鎮
yuān zé zhàn	淵澤站
yuán zhài zhèn	袁寨鎮
yuán zhǒng chǎng	原種場
yuán zhōu qū	袁州區
yuán zhōu qū	原州區
yuán zhōu zhèn	園洲鎮
yuán zhú zhèn	元竹鎮
yuán zhuāng xiāng	袁莊鄉
yuán zhuāng zhèn	袁莊鎮
yuán zhuāng zhèn	園莊鎮
yuàn zhuāng zhèn	苑莊鎮
yuè bā xiāng	嶽巴鄉
yuē bā xiāng	約巴鄉
yuè bà zhèn	嶽壩鎮
yuè bǎo shān	月寶山
yuè bǎo zhèn	嶽堡鎮
yuè běi zhèn	越北鎮
yuè bì xiāng	嶽壁鄉
yuè chéng cūn	嶽城村
yuè chéng qū	越城區
yuè chéng zhèn	嶽城鎮
yuè chéng zhèn	月城鎮
yuè chéng zhèn	悅城鎮
yuè chéng zhèn	越城鎮
yuè chí xiàn	岳池縣
yuè cūn xiāng	岳村鄉
yuè cūn zhèn	岳村鎮
yuè dōng zhèn	嶽東鎮
yuè fāng zhèn	嶽坊鎮
yuè fēng cūn	嶽峰村
yuè fēng zhèn	嶽峰鎮
yuē gǎi zhèn	約改鎮
yuè gǎng cūn	嶽崗村
yuè gāng zhàn	月岡站
yuè gè zhuāng	嶽各莊
yuè hé cūn	嶽河村
yuè hé zhèn	越河鎮
yuè hé zhèn	月河鎮
yuè hú qū	月湖區
yuè huá zhèn	月華鎮
yuè jiā cūn	岳家村
yuè jiā kǒu	岳家口
yuè jiā qiáo	岳家橋
yuè jiā wān	岳家灣
yuè jiā zhài	岳家寨
yuè jiā zhèn	岳家鎮
yuè jiā zhuāng	岳家莊
yuè jiā zuǐ	岳家嘴
yuè jiāng zhèn	月江鎮
yuè jìn xiāng	躍進鄉
yuē kè bǎo	約克堡
yuè kǒu zhèn	嶽口鎮
yuè lái zhèn	悅來鎮
yuè lái zhèn	悅崍鎮
yuè lè zhèn	悅樂鎮
yuè lǐ zhèn	月裏鎮
yuè lóng zhèn	嶽龍鎮
yuè lóu cūn	嶽樓村
yuè lù qū	嶽麓區
yuè píng zhèn	嶽屏鎮
yuè pǔ zhèn	月浦鎮
yuè qiáo cūn	嶽橋村
yuè qīng shì	樂清市
yuè qīng xiàn	樂清縣
yuè qīng zhàn	樂清站
yuè qíng zhèn	月晴鎮
yuè shān cūn	嶽山村
yuè shān xiāng	月山鄉
yuè shān zhèn	月山鎮
yuè sòng xiāng	嶽宋鄉
yuè tān zhèn	嶽灘鎮
yuè táng qū	嶽塘區
yuè táng zhèn	月塘鎮
yuè tián zhèn	月田鎮
yuè wàng xiāng	月望鄉
yuè wéi zhèn	嶽圩鎮
yuè xī cūn	嶽溪村
yuè xī xiàn	岳西縣
yuè xī xiàn	越西縣
yuè xī xiāng	越溪鄉
yuè xī zhèn	嶽溪鎮
yuè xī zhèn	月溪鎮
yuè xī zhèn	越溪鎮
yuè xīn xiāng	嶽新鄉
yuè xiù qū	越秀區
yuè yáng cūn	岳陽村
yuè yáng xiàn	岳陽縣
yuè yáng zhàn	岳陽站
yuè yáng zhèn	岳陽鎮
yuè zhài cūn	嶽寨村
yuè zhào xiāng	月照鄉
yuē zhě zhèn	曰者鎮
yuè zhōng xiāng	悅中鄉
yuè zhōu yáo	岳州窯
yuè zhōu zhèn	越州鎮
yuè zhuāng cūn	岳莊村
yuè zhuāng zhèn	悅莊鎮
yún ān qū	雲安區
yún ān xiàn	雲安縣
yún ān zhèn	雲安鎮
yún ào zhèn	雲澳鎮
yún biǎo zhèn	雲表鎮
yùn cáo zhèn	運漕鎮
yún chéng qū	雲城區
yùn chéng xiàn	鄆城縣
yùn chéng xiàn	運城縣
yùn chéng zhàn	運城站
yún cù zhèn	雲簇鎮
yún diān zhèn	雲甸鎮
