zì jǐ dǎ de	自己打的
shàng zhèi lái	上这来
shàng zhèi lèi	上这类
shàng zhèi lǐ	上这里
shì zhèi ba	是这吧
shì zhèi bù	是这不
shì zhèi de	是这的
shì zhèi ge	是这个
shì zhèi huà	是这话
shì zhèi ma	是这吗
shǐ zhèi xiē	使这些
shì zhèi yàng	是这样
shì zhèi zhǒng	是这种
shuǎ zhèi ge	耍这个
shuǎ zhèi xiē	耍这些
shuì zhèi lǐ	睡这里
shuō zhèi duō	说这多
shuō zhèi ge	说这个
shuō zhèi huà	说这话
shuō zhèi lǐ	说这里
shuō zhèi shì	说这事
shuō zhèi xiē	说这些
shuō zhèi zhǒng	说这种
sì zhèi bān	似这般
tā zhèi bān	他这般
tā zhèi bān	她这般
tā zhèi ge	他这个
tā zhèi huì	她这会
tā zhèi rén	他这人
tā zhèi yàng	她这样
tā zhèi zhǒng	他这种
tè zhèi ge	特这个
tè zhèi shì	特这是
tè zhèi yàng	特这样
tí zhèi ge	提这个
tián zhèi ge	填这个
tīng zhèi biān	听这边
tīng zhèi gē	听这歌
tīng zhèi jù	听这句
tīng zhèi shǒu	听这首
wán zhèi ge	玩这个
wán zhèi tào	玩这套
wán zhèi xiē	玩这些
wǎng zhèi zǒu	往这走
wèi zhèi gè	为这个
wèi zhèi shì	为这事
wèi zhèi xiē	为这些
wèn zhèi lǐ	问这里
wǒ zhèi bān	我这般
wǒ zhèi biān	我这边
wǒ zhèi cái	我这才
wǒ zhèi cì	我这次
wǒ zhèi dà	我这大
wǒ zhèi dé	我这得
wǒ zhèi duàn	我这段
wǒ zhèi fèn	我这份
wǒ zhèi fēn	我这分
wǒ zhèi ge	我这个
wǒ zhèi hé	我这和
wǒ zhèi huí	我这回
wǒ zhèi huì	我这会
wǒ zhèi jiān	我这间
wǒ zhèi jiào	我这叫
wǒ zhèi jiù	我这就
wǒ zhèi kuài	我这块
wǒ zhèi lái	我这来
wǒ zhèi lǐ	我这里
wǒ zhèi miàn	我这面
wǒ zhèi ná	我这拿
wǒ zhèi nián	我这年
wǒ zhèi pán	我这盘
wǒ zhèi rén	我这人
wǒ zhèi shì	我这是
wǒ zhèi shí	我这时
wǒ zhèi shǒu	我这手
wǒ zhèi shū	我这书
wǒ zhèi tào	我这套
wǒ zhèi tiān	我这天
wǒ zhèi xià	我这下
wǒ zhèi yàng	我这样
wǒ zhèi yǒu	我这有
wǒ zhèi zhèng	我这正
wǒ zhèi zhǒng	我这种
wǒ zhèi zhōu	我这周
wǒ zhèi zǔ	我这组
xià zhèi ge	下这个
xià zhèi lǐ	下这里
xiān zhèi yàng	先这样
xiàng zhèi biān	向这边
xiàng zhèi ge	像这个
xiàng zhèi lǐ	向这里
xiàng zhèi xiē	向这些
xiǎng zhèi xiē	想这些
xiàng zhèi yàng	像这样
xiàng zhèi zhǒng	像这种
xiǎo zhèi lèi	小这类
xiě zhèi duàn	写这段
xiě zhèi ge	写这个
xiě zhèi piān	写这篇
xiě zhèi xiē	写这些
xióng zhèi ge	熊这个
xuǎn zhèi ge	选这个
xuǎn zhèi zhǒng	选这种
xué zhèi ge	学这个
ya zhèi lǐ	呀这里
yǎn zhèi zhǒng	演这种
yào zhèi yàng	要这样
yě zhèi yàng	也这样
yǐ zhèi fèn	以这份
yǐ zhèi ge	以这个
yǐ zhèi yàng	以这样
yǐ zhèi zhǒng	以这种
yòng zhèi ge	用这个
yòng zhèi kē	用这颗
yòng zhèi yàng	用这样
yòng zhèi zhǒng	用这种
yǒu zhèi dà	有这大
yǒu zhèi de	有这的
yǒu zhèi duō	有这多
yǒu zhèi ge	有这个
yǒu zhèi hǎo	有这好
yǒu zhèi huà	有这话
yǒu zhèi kōng	有这空
yǒu zhèi qián	有这钱
yǒu zhèi shì	有这事
yǒu zhèi xiē	有这些
yóu zhèi xiē	由这些
yǒu zhèi yàng	有这样
yǒu zhèi zhǒng	有这种
yǔ zhèi xiē	与这些
zǎ zhèi yàng	咋这样
zài zhèi lǐ	再这里
zài zhèi yàng	再这样
zán zhèi ge	咱这个
zán zhèi lǐ	咱这里
zán zhèi xiē	咱这些
zǎo zhèi lǐ	早这里
zé zhèi ge	则这个
zhàn zhèi biān	站这边
zhàn zhèi lǐ	站这里
zhào zhèi ge	照这个
zhǎo zhèi ge	找这个
zhào zhèi yàng	照这样
zhèi ài qíng	这爱情
zhèi ān jìng	这安静
zhèi àn zi	这案子
zhèi bǎ dāo	这把刀
zhèi bā guà	这八卦
zhèi bǎ jiàn	这把剑
zhèi bǎ nǐ	这把你
zhèi bā nián	这八年
zhèi bǎ qiāng	这把枪
zhèi bā tiān	这八天
zhèi bǎn běn	这版本
zhèi bān chē	这班车
zhèi bàn nián	这半年
zhèi bān rén	这班人
zhèi bān rén	这般人
zhèi bàn tiān	这半天
zhèi bàn yè	这半夜
zhèi bāng rén	这帮人
zhèi bāng zi	这帮子
zhèi bēi chá	这杯茶
zhèi bèi hòu	这背后
zhèi bēi jiǔ	这杯酒
zhèi bèi rén	这辈人
zhèi bēi shuǐ	这杯水
zhèi bèi zi	这辈子
zhèi běn lái	这本来
zhèi běn shēn	这本身
zhèi běn shū	这本书
zhèi bì huà	这壁画
zhèi bǐ nà	这比那
zhèi bǐ qián	这笔钱
zhèi bī yàng	这逼样
zhèi bǐ zhài	这笔债
zhèi bǐ zhàng	这笔账
zhèi biān hǎo	这边好
zhèi biān jí	这编辑
zhèi biān lái	这边来
zhèi biān mǎi	这边买
zhèi biān qǐng	这边请
zhèi biàn shì	这便是
zhèi biān shì	这边是
zhèi biān xiāng	这边厢
zhèi biān yǒu	这边有
zhèi biān zǒu	这边走
zhèi biǎo míng	这表明
zhèi biǎo qíng	这表情
zhèi biāo tí	这标题
zhèi bìng dú	这病毒
zhèi bìng fēi	这并非
zhèi bǐng jiàn	这柄剑
zhèi bō kuī	这波亏
zhèi bō rén	这拨人
zhèi bù bǐ	这不比
zhèi bú dài	这不带
zhèi bú dàn	这不但
zhèi bú duì	这不对
zhèi bù duì	这部队
zhèi bù fèn	这部分
zhèi bú gǎn	这不敢
zhèi bù guān	这不关
zhèi bù hǎo	这不好
zhèi bú huì	这不会
zhèi bù jī	这部机
zhèi bú jiào	这不叫
zhèi bù jǐn	这不仅
zhèi bú jiù	这不就
zhèi bù jù	这部剧
zhèi bù néng	这不能
zhèi bú qù	这不去
zhèi bú shì	这不是
zhèi bù shū	这部书
zhèi bù shuō	这不说
zhèi bú suàn	这不算
zhèi bú tài	这不太
zhèi bù wèi	这部位
zhèi bù xì	这部戏
zhèi bù xíng	这不行
zhèi cái gǎn	这才敢
zhèi cái gāng	这才刚
zhèi cái hǎo	这才好
zhèi cái huí	这才回
zhèi cái jiào	这才叫
zhèi cái néng	这才能
zhèi cài niǎo	这菜鸟
zhèi cái shì	这才是
zhèi cāo xíng	这操行
zhèi cāo zuò	这操作
zhèi chǎng huǒ	这场火
zhèi chǎng qiú	这场球
zhèi chǎng xuě	这场雪
zhèi chǎng yǔ	这场雨
zhèi chǎng zhàng	这场仗
zhèi chéng dù	这程度
zhèi chéng jì	这成绩
zhèi chéng lǐ	这城里
zhèi chéng shì	这城市
zhèi chōng fèn	这充分
zhèi chū jù	这出剧
zhèi chū xì	这出戏
zhèi cì bù	这次不
zhèi cì de	这次的
zhèi cì dì	这次第
zhèi cì lái	这次来
zhèi cì ná	这次拿
zhèi cì ne	这次呢
zhèi cì nǐ	这次你
zhèi cì nín	这次您
zhèi cì qù	这次去
zhèi cì shì	这次是
zhèi cì wǒ	这次我
zhèi cì zài	这次在
zhèi cūn zi	这村子
zhèi dá àn	这答案
zhèi dà gài	这大概
zhèi dà gē	这大哥
zhèi dà jiě	这大姐
zhèi dà mā	这大妈
zhèi dà shū	这大叔
zhèi dà shù	这大树
zhèi dà xuě	这大雪
zhèi dà yé	这大爷
zhèi dà yǔ	这大雨
zhèi dài biǎo	这代表
zhèi dài mǎ	这代码
zhèi dài rén	这代人
zhèi dāi zhe	这呆着
zhèi dāng kǒu	这当口
zhèi dāng rán	这当然
zhèi dāng zhōng	这当中
zhèi dào cài	这道菜
zhèi dào dǐ	这到底
zhèi dào guān	这道关
zhèi dào kǎn	这道坎
zhèi dǎo luàn	这捣乱
zhèi dào shì	这倒是
zhèi dào tāng	这道汤
zhèi dào tí	这道题
zhèi dǎo zhì	这导致
zhèi dé kàn	这得看
zhèi dé shì	这得是
zhèi de shì	这的是
zhèi děng nǐ	这等你
zhèi děng rén	这等人
zhèi děng shì	这等事
zhèi děng yú	这等于
zhèi dì fāng	这地方
zhèi dí què	这的确
zhèi dì tiě	这地铁
zhèi dì tú	这地图
zhèi diàn nǎo	这电脑
zhèi diǎn qián	这点钱
zhèi diǎn qù	这点去
zhèi diǎn shàng	这点上
zhèi diǎn xuè	这点血
zhèi diǎn xuě	这点雪
zhèi diàn yǐng	这电影
zhèi diǎn zi	这点子
zhèi dōng dōng	这东东
zhèi dōng xi	这东西
zhèi dōu bèi	这都被
zhèi dōu bù	这都不
zhèi dōu kuài	这都快
zhèi dōu méi	这都没
zhèi dōu néng	这都能
zhèi dōu shì	这都是
zhèi dōu suàn	这都算
zhèi dōu xiē	这都些
zhèi dōu xìn	这都信
zhèi dōu xíng	这都行
zhèi dōu yào	这都要
zhèi dōu yǒu	这都有
zhèi dú zi	这犊子
zhèi duàn huà	这段话
zhèi duàn qíng	这段情
zhèi duàn zì	这段字
zhèi duì wǒ	这对我
zhèi duì wǔ	这队伍
zhèi duì yú	这对于
zhèi duì zi	这对子
zhèi dùn fàn	这顿饭
zhèi duō hǎo	这多好
zhèi duǒ huā	这朵花
zhèi duō nián	这多年
zhèi duō qián	这多钱
zhèi duō rén	这多人
zhèi duō tiān	这多天
zhèi duō zì	这多字
zhèi èr huò	这二货
zhèi èr nián	这二年
zhèi èr tiān	这二天
zhèi èr wèi	这二位
zhèi èr zhě	这二者
zhèi èr zì	这二字
zhèi fān huà	这番话
zhèi fān yì	这翻译
zhèi fǎn yìng	这反映
zhèi fāng fǎ	这方法
zhèi fāng miàn	这方面
zhèi fáng zi	这房子
zhèi fèn ài	这份爱
zhèi fèn biǎo	这份表
zhèi fèn gōng	这份工
zhèi fēn míng	这分明
zhèi fèn qíng	这份情
zhèi fèn shàng	这份上
zhèi fēn wéi	这氛围
zhèi fēn zhōng	这分钟
zhèi fēng xìn	这封信
zhèi fù běn	这副本
zhèi fú huà	这幅画
zhèi fù jìn	这附近
zhèi fú tú	这幅图
zhèi fù zá	这复杂
zhèi gā dá	这嘎达
zhèi gǎn jué	这感觉
zhèi gān qiāng	这杆枪
zhèi gǎng wèi	这岗位
zhèi gǎo de	这搞得
zhèi gāo de	这高的
zhèi gāo jí	这高级
zhèi gāo xìng	这高兴
zhèi ge a	这个啊
zhèi ge ba	这个吧
zhèi ge bǎi	这个摆
zhèi ge bān	这个班
zhèi ge bǎn	这个板
zhèi ge běn	这个本
zhèi ge bī	这个逼
zhèi ge biǎo	这个表
zhèi ge biāo	这个标
zhèi ge bié	这个别
zhèi ge bīng	这个兵
zhèi ge bù	这个不
zhèi ge chǎng	这个厂
zhèi ge chǎng	这个场
zhèi ge chéng	这个城
zhèi ge chóu	这个仇
zhèi ge chuán	这个船
zhèi ge cí	这个词
zhèi gē da	这疙瘩
zhèi ge dān	这个单
zhèi ge dàn	这个蛋
zhèi ge dǎo	这个岛
zhèi ge de	这个的
zhèi ge dēng	这个灯
zhèi ge dǐ	这个底
zhèi ge diàn	这个店
zhèi ge diǎn	这个点
zhèi ge dù	这个度
zhèi ge duì	这个队
zhèi ge fēn	这个分
zhèi ge fú	这个符
zhèi ge gē	这个歌
zhèi ge gěi	这个给
zhèi ge gěng	这个梗
zhèi ge gǔ	这个股
zhèi ge guā	这个瓜
zhèi ge guō	这个锅
zhèi ge guó	这个国
zhèi ge hái	这个还
zhèi ge hán	这个函
zhèi ge hǎo	这个好
zhèi ge hào	这个号
zhèi ge hé	这个和
zhèi ge hěn	这个很
zhèi ge huī	这个灰
zhèi ge huò	这个货
zhèi ge jià	这个价
zhèi ge jiā	这个家
zhèi ge jiàn	这个键
zhèi ge jiǎng	这个奖
zhèi ge jiào	这个叫
zhèi ge jié	这个节
zhèi ge jǐng	这个井
zhèi ge jiù	这个就
zhèi ge jiǔ	这个酒
zhèi ge jù	这个剧
zhèi ge jú	这个局
zhèi ge kǎ	这个卡
zhèi ge kǎn	这个坎
zhèi ge kè	这个课
zhèi ge kēng	这个坑
zhèi ge kuǎn	这个款
zhèi ge kuāng	这个框
zhèi ge la	这个啦
zhèi ge lái	这个来
zhèi ge léi	这个雷
zhèi ge lěng	这个冷
zhèi ge lǐ	这个理
zhèi ge liè	这个列
zhèi ge lóng	这个龙
zhèi ge lóu	这个楼
zhèi ge ma	这个嘛
zhèi ge ma	这个吗
zhèi ge máng	这个忙
zhèi gē men	这哥们
zhèi ge mén	这个门
zhèi ge mèng	这个梦
zhèi ge nán	这个南
zhèi ge ne	这个呢
zhèi ge néng	这个能
zhèi ge nǐ	这个你
zhèi ge niē	这个捏
zhèi ge ó	这个哦
zhèi ge piàn	这个片
zhèi ge qián	这个钱
zhèi ge qiān	这个签
zhèi ge qiū	这个秋
zhèi ge qún	这个群
zhèi ge rén	这个人
zhèi ge sāo	这个骚
zhèi gē shēng	这歌声
zhèi ge shì	这个是
zhèi ge shì	这个事
zhèi ge shū	这个书
zhèi ge shù	这个数
zhèi ge sǒng	这个怂
zhèi ge suàn	这个算
zhèi ge tǐng	这个挺
zhèi ge tú	这个图
zhèi ge wá	这个娃
zhèi ge wa	这个哇
zhèi ge wài	这个外
zhèi ge wǎng	这个网
zhèi ge wǒ	这个我
zhèi ge xià	这个夏
zhèi ge xié	这个邪
zhèi ge xié	这个鞋
zhèi ge xīng	这个星
zhèi ge xuě	这个雪
zhèi ge yào	这个要
zhèi ge yào	这个药
zhèi ge yě	这个也
zhèi ge yè	这个夜
zhèi ge yǒu	这个有
zhèi ge yuàn	这个院
zhèi ge yuè	这个月
zhèi ge zǎo	这个早
zhèi ge zhàn	这个站
zhèi ge zhēn	这个真
zhèi ge zhèng	这个证
zhèi ge zhí	这个值
zhèi ge zhōu	这个周
zhèi ge zì	这个字
zhèi ge zǒng	这个总
zhèi ge zǔ	这个组
zhèi gěi nǐ	这给你
zhèi gěi wǒ	这给我
zhèi gēn běn	这根本
zhèi gēn cì	这根刺
zhèi gēn liáng	这根梁
zhèi gēn wǒ	这跟我
zhèi gēn xián	这根弦
zhèi gēn xiàn	这根线
zhèi gōng fū	这功夫
zhèi gōng néng	这功能
zhèi gōng sī	这公司
zhèi gǒu de	这狗的
zhèi gǔ huǒ	这股火
zhèi gū jì	这估计
zhèi gǔ jìn	这股劲
zhèi gū niáng	这姑娘
zhèi guān xīn	这关心
zhèi guǎn zi	这管子
zhèi guāng jǐng	这光景
zhèi guī nǚ	这闺女
zhèi guī zé	这规则
zhèi hā hā	这哈哈
zhèi hái bù	这还不
zhèi hái hǎo	这还好
zhèi hái jiào	这还叫
zhèi hái méi	这还没
zhèi hǎi shàng	这海上
zhèi hái shì	这还是
zhèi hái yào	这还要
zhèi hái yòng	这还用
zhèi hái yǒu	这还有
zhèi hái zhēn	这还真
zhèi hái zi	这孩子
zhèi háng qíng	这行情
zhèi háng yè	这行业
zhèi hǎo a	这好啊
zhèi hǎo bǐ	这好比
zhèi hǎo de	这好的
zhèi hào rén	这号人
zhèi hǎo shì	这好事
zhèi hǎo xiàng	这好像
zhèi hé ài	这和爱
zhèi hé lǐ	这合理
zhèi hé nǐ	这和你
zhèi hēi rén	这黑人
zhèi hēi yè	这黑夜
zhèi hěn hǎo	这很好
zhèi hěn nán	这很难
zhèi héng shān	这横山
zhèi hòu lái	这后来
zhèi hòu shēng	这后生
zhèi hú zi	这胡子
zhèi huà lǐ	这话里
zhèi huà tí	这话题
zhèi huán jìng	这环境
zhèi huì dōu	这会都
zhèi huí gēn	这回跟
zhèi huì hái	这会还
zhèi huí hǎo	这回好
zhèi huí ne	这回呢
zhèi huí què	这回却
zhèi huí shì	这回事
zhèi huì shǐ	这会使
zhèi huí wǒ	这回我
zhèi huí yì	这回忆
zhèi huì zài	这会在
zhèi huī zhāng	这徽章
zhèi huì zhèng	这会正
zhèi huì zǐ	这会子
zhèi huí zǐ	这回子
zhèi huí zuò	这回做
zhèi hūn shì	这婚事
zhèi huó dòng	这活动
zhèi huǒ jì	这伙计
zhèi huǒ rén	这伙人
zhèi huò xǔ	这或许
zhèi jǐ bǎ	这几把
zhèi jī bā	这鸡巴
zhèi jī běn	这基本
zhèi jǐ běn	这几本
zhèi jǐ bǐ	这几笔
zhèi jǐ bō	这几波
zhèi jǐ bù	这几部
zhèi jǐ chǎng	这几场
zhèi jǐ chù	这几处
zhèi jǐ cì	这几次
zhèi jǐ diǎn	这几点
zhèi jī dòng	这激动
zhèi jì dù	这季度
zhèi jǐ duàn	这几段
zhèi jǐ duì	这几对
zhèi jǐ fèn	这几份
zhèi jǐ gè	这几个
zhèi jǐ háng	这几行
zhèi jǐ jiā	这几家
zhèi jì jié	这季节
zhèi jǐ jiè	这几届
zhèi jǐ jù	这几句
zhèi jǐ kē	这几颗
zhèi jǐ kuài	这几块
zhèi jǐ kuǎn	这几款
zhèi jǐ lèi	这几类
zhèi jǐ liàng	这几辆
zhèi jǐ míng	这几名
zhèi jǐ nián	这几年
zhèi jǐ piān	这几篇
zhèi jǐ rì	这几日
zhèi jì shì	这既是
zhèi jǐ shǒu	这几首
zhèi jǐ tào	这几套
zhèi jǐ tiān	这几天
zhèi jǐ wǎn	这几晚
zhèi jǐ wèi	这几位
zhèi jǐ xiàng	这几项
zhèi jǐ zhāng	这几张
zhèi jǐ zhī	这几只
zhèi jǐ zhǒng	这几种
zhèi jiā chǎng	这家厂
zhèi jiā diàn	这家店
zhèi jiā huo	这家伙
zhèi jiā nǐ	这家你
zhèi jiā rén	这家人
zhèi jiā shì	这家是
zhèi jiā zǐ	这家子
zhèi jiǎn dān	这简单
zhèi jiàn shì	这件事
zhèi jiǎn zhí	这简直
zhèi jiāng shì	这将是
zhèi jiāng yǒu	这将有
zhèi jiào ài	这叫爱
zhèi jiē duàn	这阶段
zhèi jié kè	这节课
zhèi jiě men	这姐们
zhèi jié mù	这节目
zhèi jié zòu	这节奏
zhèi jǐn shì	这仅是
zhèi jīng jì	这经济
zhèi jīng shén	这精神
zhèi jiù bù	这就不
zhèi jiù dài	这就带
zhèi jiù dào	这就到
zhèi jiù děi	这就得
zhèi jiù duì	这就对
zhèi jiù gāi	这就该
zhèi jiù gēn	这就跟
zhèi jiù hǎo	这就好
zhèi jiù hé	这就和
zhèi jiù huì	这就会
zhèi jiù jiào	这就叫
zhèi jiū jìng	这究竟
zhèi jiù lái	这就来
zhèi jiù qù	这就去
zhèi jiù shì	这就是
zhèi jiù shǐ	这就使
zhèi jiù suàn	这就算
zhèi jiù tài	这就太
zhèi jiù wán	这就完
zhèi jiù yào	这就要
zhèi jiù yǒu	这就有
zhèi jù hǎo	这句好
zhèi jù huà	这句话
zhèi jú miàn	这局面
zhèi jué bù	这绝不
zhèi kàn sì	这看似
zhèi kào pǔ	这靠谱
zhèi kě néng	这可能
zhèi kě shì	这可是
zhèi kē shù	这棵树
zhèi kē táng	这颗糖
zhèi kē xīng	这颗星
zhèi kě yǐ	这可以
zhèi kě zhēn	这可真
zhèi kěn dìng	这肯定
zhèi kēng diē	这坑爹
zhèi kǒng bù	这恐怖
zhèi kǒng pà	这恐怕
zhèi kǒu guō	这口锅
zhèi kǒu qì	这口气
zhèi kǒu yīn	这口音
zhèi kù zi	这裤子
zhèi kuā zhāng	这夸张
zhèi kuài bù	这块布
zhèi kuài dì	这块地
zhèi kuài liào	这块料
zhèi kuài qián	这块钱
zhèi kuài ròu	这块肉
zhèi kuǎn qín	这款琴
zhèi lǎo dà	这老大
zhèi lǎo gē	这老哥
zhèi lǎo hàn	这老汉
zhèi lǎo tóu	这老头
zhèi lǎo xiē	这老些
zhèi lèi cí	这类词
zhèi lèi rén	这类人
zhèi lǐ a	这里啊
zhèi lǐ ba	这里吧
zhèi lǐ biān	这里边
zhèi lǐ céng	这里曾
zhèi lǐ de	这里的
zhèi lǐ děng	这里等
zhèi lǐ guò	这里过
zhèi lì hài	这厉害
zhèi lǐ hǎo	这里好
zhèi lǐ huì	这里会
zhèi lǐ jiàn	这里建
zhèi lǐ jiāng	这里将
zhèi lǐ jiù	这里就
zhèi lǐ lái	这里来
zhèi lǐ lián	这里连
zhèi lǐ ma	这里吗
zhèi lǐ mǎi	这里买
zhèi lǐ méi	这里没
zhèi lǐ miàn	这里面
zhèi lǐ mù	这里木
zhèi lǐ nà	这里那
zhèi lǐ néng	这里能
zhèi lǐ shì	这里是
zhèi lǐ shuǎ	这里耍
zhèi lǐ wǒ	这里我
zhèi lǐ xuě	这里雪
zhèi lǐ yě	这里也
zhèi lǐ yǒu	这里有
zhèi lǐ yóu	这理由
zhèi lǐ zhǎo	这里找
zhèi lǐ zhù	这里住
zhèi liǎ dì	这俩地
zhèi liǎ duì	这俩队
zhèi liǎ gè	这俩个
zhèi liǎ rén	这俩人
zhèi liǎ shì	这俩事
zhèi liǎng bǎ	这两把
zhèi liǎng běn	这两本
zhèi liǎng bù	这两部
zhèi liàng chē	这辆车
zhèi liǎng chù	这两处
zhèi liǎng cì	这两次
zhèi liǎng dà	这两大
zhèi liǎng diǎn	这两点
zhèi liǎng fèn	这两份
zhèi liǎng gè	这两个
zhèi liǎng gēn	这两根
zhèi liǎng háng	这两行
zhèi liǎng jiā	这两家
zhèi liǎng jiàn	这两件
zhèi liǎng jiān	这两间
zhèi liǎng jù	这两句
zhèi liǎng kē	这两颗
zhèi liǎng kǒu	这两口
zhèi liǎng kuài	这两块
zhèi liǎng kuǎn	这两款
zhèi liǎng míng	这两名
zhèi liǎng nián	这两年
zhèi liǎng pī	这两批
zhèi liǎng piào	这两票
zhèi liǎng rén	这两人
zhèi liǎng rì	这两日
zhèi liǎng shǒu	这两首
zhèi liǎng shuāng	这两双
zhèi liǎng tái	这两台
zhèi liǎng tiān	这两天
zhèi liǎng tiáo	这两条
zhèi liǎng wǎn	这两晚
zhèi liǎng wèi	这两位
zhèi liǎng xiàng	这两项
zhèi liǎng yè	这两页
zhèi liǎng zhāng	这两张
zhèi liǎng zhě	这两者
zhèi liǎng zhǐ	这两只
zhèi liǎng zhǒng	这两种
zhèi liù diǎn	这六点
zhèi liù gè	这六个
zhèi liù nián	这六年
zhèi liù rén	这六人
zhèi liù suǒ	这六所
zhèi lù zi	这路子
zhèi lún huí	这轮回
zhèi luó jí	这逻辑
zhèi mǎi mài	这买卖
zhèi mào sì	这貌似
zhèi měi rén	这美人
zhèi méi shá	这没啥
zhèi měi tiān	这每天
zhèi méi yòng	这没用
zhèi méi yǒu	这没有
zhèi mèi zi	这妹子
zhèi mén kè	这门课
zhèi mén kǒu	这门口
zhèi mén zǐ	这门子
zhèi miàn qiáng	这面墙
zhèi míng xiǎn	这明显
zhèi míng zì	这名字
zhèi mó guǐ	这魔鬼
zhèi nà de	这那的
zhèi nǎ shì	这哪是
zhèi nǎ xíng	这哪行
zhèi nán dào	这难道
zhèi nán de	这男的
zhèi nán rén	这男人
zhèi nǎo dài	这脑袋
zhèi néng lì	这能力
zhèi néng ràng	这能让
zhèi néng rěn	这能忍
zhèi nǐ jiù	这你就
zhèi nǐ mā	这你妈
zhèi nián dài	这年代
zhèi nián jì	这年纪
zhèi nián qīng	这年轻
zhèi nián tóu	这年头
zhèi nián yuè	这年月
zhèi nǚ de	这女的
zhèi nǚ rén	这女人
zhèi nǚ wá	这女娃
zhèi nǚ zǐ	这女子
zhèi pái zi	这牌子
zhèi pán shì	这盘是
zhèi pǐ mǎ	这匹马
zhèi piàn hǎi	这片海
zhèi piàn hú	这片湖
zhèi piān wén	这篇文
zhèi pián yi	这便宜
zhèi piān zi	这片子
zhèi piào de	这票的
zhèi pò diàn	这破店
zhèi pò hū	这破乎
zhèi pó niáng	这婆娘
zhèi qì chǎng	这气场
zhèi qǐ fēi	这岂非
zhèi qī gè	这七个
zhèi qī jiān	这期间
zhèi qí jiān	这其间
zhèi qī kuǎn	这七款
zhèi qī rén	这七人
zhèi qí zhōng	这其中
zhèi qià qià	这恰恰
zhèi qíng huái	这情怀
zhèi qíng kuàng	这情况
zhèi qū qū	这区区
zhèi quán shuǐ	这泉水
zhèi qún gǒu	这群狗
zhèi qún lǐ	这群里
zhèi qún rén	这群人
zhèi ràng tā	这让她
zhèi ràng wǒ	这让我
zhèi rén shēng	这人生
zhèi rì zi	这日子
zhèi ruǎn jiàn	这软件
zhèi sā rén	这仨人
zhèi sān dà	这三大
zhèi sān duì	这三对
zhèi sān fèn	这三份
zhèi sān gè	这三个
zhèi sān guó	这三国
zhèi sān jiā	这三家
zhèi sān lèi	这三类
zhèi sān míng	这三名
zhèi sān nián	这三年
zhèi sān rén	这三人
zhèi sān tiān	这三天
zhèi sān tiáo	这三条
zhèi sān wèi	这三位
zhèi sān xiàng	这三项
zhèi sān zhǐ	这三只
zhèi sān zhǒng	这三种
zhèi shǎ bī	这傻逼
zhèi shè huì	这社会
zhèi shén mì	这神秘
zhèi shēn yè	这深夜
zhèi shēn zi	这身子
zhèi shēng huó	这生活
zhèi shèng shì	这盛世
zhèi shēng yīn	这声音
zhèi shì a	这事啊
zhèi shì ài	这是爱
zhèi shì bǎ	这是把
zhèi shì ba	这事吧
zhèi shì bìng	这是病
zhèi shì cóng	这是从
zhèi shí dài	这时代
zhèi shì dài	这是带
zhèi shì dài	这世代
zhèi shì dào	这世道
zhèi shǐ de	这使得
zhèi shì dì	这是第
zhèi shì dōu	这事都
zhèi shì duì	这是对
zhèi shì fēi	这是非
zhèi shì fǒu	这是否
zhèi shì gè	这是个
zhèi shì gěi	这是给
zhèi shì gēn	这是跟
zhèi shí guāng	这时光
zhèi shì hěn	这是很
zhèi shí hòu	这时候
zhèi shì jiā	这是家
zhèi shì jiān	这世间
zhèi shí jiān	这时间
zhèi shì jiè	这世界
zhèi shí jiù	这时就
zhèi shì ma	这是嘛
zhèi shì méi	这是没
zhèi shì mèng	这是梦
zhèi shì mìng	这是命
zhèi shì nǎ	这是哪
zhèi shí nǐ	这时你
zhèi shì nǐ	这是你
zhèi shí nián	这十年
zhèi shì pà	这是怕
zhèi shì pín	这视频
zhèi shí qī	这时期
zhèi shì qíng	这事情
zhèi shì qǐng	这事请
zhèi shì shá	这是啥
zhèi shì shàng	这世上
zhèi shì shén	这是神
zhèi shì shuí	这是谁
zhèi shì tā	这是他
zhèi shì tā	这是她
zhèi shì wǒ	这是我
zhèi shǐ wǒ	这使我
zhèi shí xí	这实习
zhèi shì xiǎng	这是想
zhèi shì xiē	这是些
zhèi shì yóu	这是由
zhèi shì zǎ	这是咋
zhèi shì zài	这是在
zhèi shì zhèng	这是正
zhèi shǒu cí	这首词
zhèi shǒu gē	这首歌
zhèi shǒu jī	这手机
zhèi shǒu shī	这首诗
zhèi shǒu sù	这手速
zhèi shū fú	这舒服
zhèi shù zì	这数字
zhèi shuāng shǒu	这双手
zhèi shuāng xié	这双鞋
zhèi shuí a	这谁啊
zhèi shuí ya	这谁呀
zhèi shuō de	这说的
zhèi shuō míng	这说明
zhèi sì gè	这四个
zhèi sì hū	这似乎
zhèi sì míng	这四名
zhèi sì nián	这四年
zhèi sì tiān	这四天
zhèi sōu chuán	这艘船
zhèi sù dù	这速度
zhèi suàn bù	这算不
zhèi suàn shì	这算是
zhèi suān shuǎng	这酸爽
zhèi sui shù	这岁数
zhèi sūn zi	这孙子
zhèi tā mā	这他妈
zhèi tái fēng	这台风
zhèi tái jī	这台机
zhèi tài yáng	这太阳
zhèi táng kè	这堂课
zhèi tào fáng	这套房
