a	A+
dōng fēng yī qī	东风-17
dōng fēng yī wǔ	东风-15
dōng fēng yī yī	东风-11
dos gōng jī	DoS攻击
ecg jiān cè	ECG监测
eds fēn xī	EDS分析
emby fú	Emby服
èr k fēn biàn lǜ	2K分辨率
èr k xiǎn shì qì	2K显示器
erp xì tǒng	ERP系统
esp xì tǒng	ESP系统
etf jī jīn	ETF基金
ev chōng diàn zhuāng	EV充电桩
ev diàn dòng chē	EV电动车
fat sān èr	FAT32
fea fēn xī	FEA分析
fft biàn huàn	FFT变换
fù liàn rna	负链RNA
gdp zēng sù	GDP增速
gdp zēng zhǎng	GDP增长
git tí jiāo	Git提交
gj yī yī	GJ-11
gōng jī yī yī	攻击-11
gpa fēn shù	GPA分数
gps dǎo háng	GPS导航
gps dìng wèi	GPS定位
gpt wǔ	GPT-5
gpu jiā sù	GPU加速
gpu xìng néng	GPU性能
gre kǎo shì	GRE考试
h èr liù liù	H.266
h èr liù sì	H.264
h èr liù wǔ	H.265
hdmi xiàn	HDMI线
hj yī èr	HJ-12
hj yī líng	HJ-10
hold zhù	hold住
home jiàn	Home键
hóng buff	红Buff
hóng jiàn yī èr	红箭-12
hóng jiàn yī líng	红箭-10
hóng qí èr èr	红旗-22
hóng qí èr jiǔ	红旗-29
hóng qí èr líng	红旗-20
hóng qí yī jiǔ	红旗-19
hóng qí yī liù	红旗-16
hq èr èr	HQ-22
hq èr jiǔ	HQ-29
hq èr líng	HQ-20
hq yī jiǔ	HQ-19
hq yī liù	HQ-16
huì bào sān líng sān	会报303
huì bào sì líng sì	会报404
huì bào wǔ líng líng	会报500
huì bào wǔ líng sān	会报503
icp bèi àn	ICP备案
ide huán jìng	IDE环境
ie liú lǎn qì	IE浏览器
ios bǎn běn	iOS版本
ios kāi fā	iOS开发
ipo shàng shì	IPO上市
j bā ii	J-8II
j èr líng a	J-20A
j èr líng s	J-20S
j sān wǔ a	J-35A
j yī líng b	J-10B
j yī líng c	J-10C
j yī liù d	J-16D
j yī wǔ b	J-15B
j yī yī b	J-11B
jh qī a	JH-7A
jiān bā ii	歼-8II
jiān èr líng a	歼-20A
jiān èr líng s	歼-20S
jiān hōng qī a	歼轰-7A
jiān sān wǔ a	歼-35A
jiǎn vlog	剪vlog
jiān yī líng b	歼-10B
jiān yī líng c	歼-10C
jiān yī liù d	歼-16D
jiān yī wǔ b	歼-15B
jiān yī yī b	歼-11B
jié bào xel	捷豹XEL
jié bào xfl	捷豹XFL
jiù zhī dào bb	就知道BB
jk chù fā qì	JK触发器
jl yī líng	JL-10
kpi zhǐ biāo	KPI指标
ktv bāo jiān	KTV包间
ktv bāo xiāng	KTV包厢
l xíng wén jiàn jiā	L型文件夹
lán buff	蓝Buff
lǎo baby	老Baby
lcd píng mù	LCD屏幕
lè dào l jiǔ líng	乐道L90
lè dào l liù líng	乐道L60
lì flag	立Flag
lite bǎn	Lite版
liù jiǔ shì tǎn kè	69式坦克
liú lǎn qì ua	浏览器UA
mac bǎn běn	Mac版本
mac dì zhǐ	MAC地址
mba xiàng mù	MBA项目
méi rén bb le	没人BB了
méi yǒu bug	没有bug
mp sān yīn yuè	MP3音乐
mp sì shì pín	MP4视频
mri jiǎn chá	MRI检查
nba lán qiú	NBA篮球
nbg jiǔ bā	NBG98
nbg jiǔ jiǔ	NBG99
nbg jiǔ wǔ	NBG95
nfc gōng néng	NFC功能
nfc zhī fù	NFC支付
nio wèi lái	NIO蔚来
obd jiē kǒu	OBD接口
okr mù biāo	OKR目标
oled píng	OLED屏
ota shēng jí	OTA升级
pāi vlog	拍vlog
papi jiàng	Papi酱
pcr shí yàn	PCR实验
pdf wén dàng	PDF文档
pdf wén jiàn	PDF文件
phd lùn wén	PhD论文
pī lì yī líng	霹雳-10
pī lì yī wǔ	霹雳-15
pl yī líng	PL-10
pl yī wǔ	PL-15
pos zhī fù	POS支付
ppr qiú fá	PPR球阀
ppt yǎn shì	PPT演示
pro bǎn běn	Pro版本
qī jiǔ shì tǎn kè	79式坦克
qī zip	7-Zip
qī zip	7-Zip
qín l dm	秦L DM
qq biǎo qíng bāo	QQ表情包
qq dà huì yuán	QQ大会员
qq shū rù fǎ	QQ输入法
qr mǎ zhī fù	QR码支付
qwen sān	Qwen3
ram róng liàng	RAM容量
rén jūn gdp	人均GDP
rna bìng dú	RNA病毒
rna fēn xī	RNA分析
rna tí qǔ	RNA提取
rom kōng jiān	ROM空间
sem tú xiàng	SEM图像
shùn jiān get	瞬间get
sì k fēn biàn lǜ	4K分辨率
sì k xiǎn shì qì	4K显示器
smt tiē piàn	SMT贴片
sql yǔ jù	SQL语句
ssd yìng pán	SSD硬盘
ssh gōng yào	SSH公钥
ssh sī yào	SSH私钥
suv chē shēn	SUV车身
suv chē xíng	SUV车型
svn cāng kù	SVN仓库
t lín bā xì bāo	T淋巴细胞
tǒng xìn uos	统信UOS
uc liú lǎn qì	UC浏览器
uc zhèn jīng bù	UC震惊部
uom píng tái	UOM平台
url liàn jiē	URL链接
usb a	USB-A
usb b	USB-B
usb c	USB-C
usb jiē kǒu	USB接口
usd huì lǜ	USD汇率
usim kǎ	USIM卡
utm tóu yǐng	UTM投影
uu jiā sù qì	UU加速器
v zì chóu shā duì	V字仇杀队
veo sān	Veo 3
vga jiē kǒu	VGA接口
vip huì yuán	VIP会员
vip zhōng p	VIP中P
vpn lián jiē	VPN连接
web bǎn běn	Web版本
web kāi fā	Web开发
web wǎng zhàn	Web网站
wèi lái ec bā	蔚来EC8
wèi lái ec liù	蔚来EC6
wèi lái ec qī	蔚来EC7
wèi lái ep jiǔ	蔚来EP9
wèi lái es bā	蔚来ES8
wèi lái es liù	蔚来ES6
wèi lái es qī	蔚来ES7
wèi lái et jiǔ	蔚来ET9
wèi lái et qī	蔚来ET7
wèi lái et wǔ	蔚来ET5
wéi shēng sù e rǔ	维生素E乳
win bǎn běn	Win版本
wǔ jiǔ shì tǎn kè	59式坦克
wǔ zhí yī jiǔ	武直-19
wǔ zhí yī líng	武直-10
x dé léi kè	X·德雷克
x org	X.Org
xiǎo baby	小Baby
xiǎo case	小case
xiǎo mǐ su qī	小米SU7
xiǎo mǐ yu qī	小米YU7
xiū fù bug	修复bug
xml gé shì	XML格式
xrd cè shì	XRD测试
yī líng bā líng p	1080p
yī wǔ shì qīng tǎn	15式轻坦
yīng jī bā sān	鹰击-83
yīng jī èr yī	鹰击-21
yīng jī yī bā	鹰击-18
yīng jī yī èr	鹰击-12
yǐng zi api	影子API
yj bā sān	YJ-83
yj èr yī	YJ-21
yj yī bā	YJ-18
yj yī èr	YJ-12
yùn yóu èr líng	运油-20
yy èr líng	YY-20
zhì jǐ ls liù	智己LS6
zhì jǐ ls qī	智己LS7
zhì néng abc	智能ABC
abs fáng bào sǐ	ABS防抱死
adas xì tǒng	ADAS系统
ai rén gōng zhì néng	AI人工智能
apsc huà fú	apsc画幅
ar zēng qiáng xiàn shí	AR增强现实
ascii mǎ	ASCII码
audi ào dí	Audi奥迪
bǎo shí jié jiǔ yī yī	保时捷911
bǎo shí jié qī yī bā	保时捷718
benz bēn chí	Benz奔驰
beta bǎn běn	Beta版本
bg liù bā ti	BG68Ti
bios shè zhì	BIOS设置
boss zhí pìn	BOSS直聘
byd bǐ yà dí	BYD比亚迪
caac zhí zhào	CAAC执照
cháng jiàn yī líng líng	长剑-100
cj yī líng líng	CJ-100
cpu sàn rè qì	CPU散热器
dà zhòng polo	大众Polo
dàn dàn play	弹弹play
ddos gōng jī	DDoS攻击
df èr liù d	DF-26D
df èr yī d	DF-21D
dié buff ne	叠buff呢
dji wú rén jī	DJI无人机
dōng fēng èr liù d	东风-26D
dōng fēng èr yī d	东风-21D
dōng fēng sān yī a	东风-31A
ecg xīn diàn tú	ECG心电图
echo yīn xiāng	Echo音箱
eject jiàn	Eject键
enso xún huán	ENSO循环
enter jiàn	Enter键
fēng tián ae bā liù	丰田AE86
fpv wú rén jī	FPV无人机
gpt sì o	GPT-4o
guān dǐ boss	关底BOSS
hǎi hóng qí jiǔ c	海红旗-9C
hdmi jiē kǒu	HDMI接口
hé mǎ mini	盒马mini
hhq jiǔ c	HHQ-9C
hóng qí yī liù c	红旗-16C
hq yī liù c	HQ-16C
html dài mǎ	HTML代码
http qǐng qiú	HTTP请求
iot wù lián wǎng	IoT物联网
ipad píng bǎn	iPad平板
j k luó lín	J.K.罗琳
java chéng xù	Java程序
java kāi fā	Java开发
jpeg tú piàn	JPEG图片
json shù jù	JSON数据
kāi party	开party
kj èr líng líng	KJ-200
kj wǔ líng líng	KJ-500
kōng jǐng èr líng líng	空警-200
kōng jǐng wǔ líng líng	空警-500
l bā max	L8 Max
l bā pro	L8 Pro
l jiǔ max	L9 Max
l jiǔ pro	L9 Pro
l liù max	L6 Max
l liù pro	L6 Pro
l qī max	L7 Max
l qī pro	L7 Pro
léi kè sà sī es	雷克萨斯ES
léi kè sà sī lc	雷克萨斯LC
léi kè sà sī lm	雷克萨斯LM
léi kè sà sī ls	雷克萨斯LS
léi kè sà sī lx	雷克萨斯LX
léi kè sà sī nx	雷克萨斯NX
léi kè sà sī rx	雷克萨斯RX
lǐ xiǎng mega	理想MEGA
lite bǎn běn	Lite版本
lpddr liù	LPDDR6
lpddr wǔ	LPDDR5
macos bǎn	macOS版
macos duān	macOS端
méng qí d lóng	蒙奇·D·龙
mooc kè chéng	MOOC课程
mp sān bō fàng qì	MP3播放器
nacl nóng dù	NaCl浓度
nacl róng yè	NaCl溶液
oled diàn shì	OLED电视
oled miàn bǎn	OLED面板
otp yàn zhèng mǎ	OTP验证码
pdd pīn duō duō	PDD拼多多
pdf yuè dú qì	PDF阅读器
pdf zhuǎn huàn qì	PDF转换器
pg one	PG One
phev chē xíng	PHEV车型
pos jī shuā kǎ	POS机刷卡
ppt huàn dēng piàn	PPT幻灯片
pvc zhǐ huí fá	PVC止回阀
qq ān quán zhōng xīn	QQ安全中心
qq chāo jí huì yuán	QQ超级会员
qq tóng bù zhù shǒu	QQ同步助手
qq xiāo xi tí xǐng	QQ消息提醒
qq yóu xì dà tīng	QQ游戏大厅
rime fāng àn	RIME方案
rna jù hé méi	RNA聚合酶
sdk gōng jù bāo	SDK工具包
shift jiàn	Shift键
shuǐ róng c yī líng líng	水溶C100
space jiàn	Space键
sql shù jù kù	SQL数据库
steam yún	Steam云
tb líng líng yī	TB-001
téng zi bú èr xióng a	藤子不二雄A
type a	Type-A
type b	Type-B
type c	Type-C
uefi qǐ dòng	UEFI启动
upvc dié fá	UPVC蝶阀
usb chōng diàn qì	USB充电器
vlog jiǎn jí	vlog剪辑
vlog zhì zuò	vlog制作
vr xū nǐ xiàn shí	VR虚拟现实
web sān líng	Web3.0
wèi lái et wǔ t	蔚来ET5T
wifi bàn lǚ	WiFi伴侣
wifi mì mǎ	WiFi密码
wifi xìn hào	WiFi信号
wò ěr wò s jiǔ líng	沃尔沃S90
wò ěr wò s liù líng	沃尔沃S60
wò ěr wò v jiǔ líng	沃尔沃V90
wò ěr wò v liù líng	沃尔沃V60
word wén dàng	Word文档
ztd líng wǔ	ZTD-05
ztq yī wǔ	ZTQ-15
ztz bā bā	ZTZ-88
ztz bā líng	ZTZ-80
ztz bā wǔ	ZTZ-85
ztz jiǔ jiǔ	ZTZ-99
ztz jiǔ liù	ZTZ-96
ztz liù jiǔ	ZTZ-69
ztz qī jiǔ	ZTZ-79
ztz wǔ jiǔ	ZTZ-59
zūn jiè s bā líng líng	尊界S800
ansys ruǎn jiàn	ANSYS软件
baidu dì tú	Baidu地图
brant b	BrAnT.B
bú cuò nice	不错！nice
bzk líng líng wǔ	BZK-005
cfo cái wù zǒng jiān	CFO财务总监
chrome xì	Chrome系
cinity tīng	Cinity厅
coo yùn yíng zǒng jiān	COO运营总监
cto jì shù zǒng jiān	CTO技术总监
delete jiàn	Delete键
df sān yī ag	DF-31AG
dōng fēng sān yī ag	东风-31AG
dōng fēng sān yī bj	东风-31BJ
email yóu xiāng	Email邮箱
emby gōng yì fú	Emby公益服
excel biǎo gé	Excel表格
fēi cháng nice	非常 nice
fifa shì jiè bēi	FIFA世界杯
gē ěr d luó jié	哥尔·D·罗杰
git bǎn běn kòng zhì	Git版本控制
glm wǔ èr	GLM-5.2
glm wǔ sān	GLM-5.3
gopro xiàng jī	GoPro相机
gpt wǔ sì	GPT-5.4
gpt wǔ wǔ	GPT-5.5
gpt wǔ yī	GPT-5.1
https ān quán	HTTPS安全
huǒ jiàn shào nǚ yī líng yī	火箭少女101
ielts kǒu yǔ	IELTS口语
jiāng nán style	江南Style
jiù hěn nice	就很 nice
kǎi dí lā kè ct liù	凯迪拉克CT6
kǎi dí lā kè ct sì	凯迪拉克CT4
kǎi dí lā kè ct wǔ	凯迪拉克CT5
kǎi dí lā kè xt liù	凯迪拉克XT6
kǎi dí lā kè xt sì	凯迪拉克XT4
kǎi dí lā kè xt wǔ	凯迪拉克XT5
kimi k sān	kimi-k3
kj èr líng líng líng	KJ-2000
kōng jǐng èr líng líng líng	空警-2000
linux xì tǒng	Linux系统
liù èr shì qīng xíng tǎn kè	62式轻型坦克
liù sān shì liǎng qī tǎn kè	63式两栖坦克
macos bǎn běn	macOS版本
macos xì tǒng	macOS系统
méng qí d kǎ pǔ	蒙奇·D·卡普
méng qí d lù fēi	蒙奇·D·路飞
model s	Model S
model sān	Model 3
model x	Model X
model y	Model Y
nabla suàn zǐ	Nabla算子
nasa yǔ háng jú	NASA宇航局
nexus xì liè	Nexus系列
option jiàn	Option键
phev chā hùn chē	PHEV插混车
pixel shǒu jī	Pixel手机
qín l dm i	秦L DM-i
redmi shǒu jī	Redmi手机
return jiàn	Return键
rime shū rù fǎ	RIME输入法
server jiàng	Server酱
sos jǐn jí qiú zhù	SOS紧急求助
suí shēn wi fi	随身Wi-Fi
switch bǎn	Switch版
téng shì d jiǔ dm	腾势D9 DM
téng shì d jiǔ ev	腾势D9 EV
téng shì n jiǔ dm	腾势N9 DM
tesla qì chē	Tesla汽车
toefl chéng jì	TOEFL成绩
type bā bā	Type-88
type bā líng	Type-80
type jiǔ jiǔ	Type-99
type jiǔ liù	Type-96
type liù jiǔ	Type-69
type qī jiǔ	Type-79
type wǔ jiǔ	Type-59
uos v èr líng	UOS V20
uos v èr wǔ	UOS V25
uwb shù zì yào shi	UWB数字钥匙
wi fi mì mǎ	Wi-Fi密码
wò ěr wò xc jiǔ líng	沃尔沃XC90
wò ěr wò xc liù líng	沃尔沃XC60
wò ěr wò xc sì líng	沃尔沃XC40
xiū fù ruò gān bug	修复若干bug
xpeng xiǎo péng	XPeng小鹏
yǎng wàng u qī ev	仰望U7 EV
yī wǔ shì qīng xíng tǎn kè	15式轻型坦克
zhì néng abc shuāng pīn	智能ABC双拼
zts liù sān a	ZTS-63A
ztz jiǔ jiǔ a	ZTZ-99A
ztz jiǔ jiǔ b	ZTZ-99B
ztz jiǔ liù a	ZTZ-96A
ztz jiǔ liù b	ZTZ-96B
android bǎn	Android版
android duān	Android端
ào dí e tron	奥迪e-tron
bǎo shí jié macan	保时捷Macan
ceo shǒu xí zhí xíng guān	CEO首席执行官
cnb cool	cnb.cool
command jiàn	Command键
comsol mó xíng	COMSOL模型
control jiàn	Control键
docker jìng xiàng	Docker镜像
eul de shén shèng fǎ zhàng	Eul的神圣法杖
fail èr ban	fail2ban
ftc èr líng líng líng	FTC-2000
galaxy xì liè	Galaxy系列
github cāng kù	Github仓库
google sōu suǒ	Google搜索
grok sì líng	Grok 4.0
ip èr world	ip2world
ipad air	iPad Air
ipad pro	iPad Pro
iphone bā	iPhone 8
iphone liù	iPhone 6
iphone qī	iPhone 7
iphone shǒu jī	iPhone手机
iphone sì	iPhone 4
iphone wǔ	iPhone 5
iphone x	iPhone X
jié bào e pace	捷豹E-PACE
jié bào f pace	捷豹F-PACE
jié bào i pace	捷豹I-PACE
l bā ultra	L8 Ultra
l jiǔ ultra	L9 Ultra
l qī ultra	L7 Ultra
lǐ xiǎng l bā max	理想L8 Max
lǐ xiǎng l bā pro	理想L8 Pro
lǐ xiǎng l jiǔ max	理想L9 Max
lǐ xiǎng l jiǔ pro	理想L9 Pro
lǐ xiǎng l liù max	理想L6 Max
lǐ xiǎng l liù pro	理想L6 Pro
lǐ xiǎng l qī max	理想L7 Max
lǐ xiǎng l qī pro	理想L7 Pro
liauto lǐ xiǎng	LiAuto理想
líng wǔ shì liǎng qī tū jī chē	05式两栖突击车
liù sān a shì liǎng qī tǎn kè	63A式两栖坦克
mǎ xiē ěr d dì qí	马歇尔·D·蒂奇
mbt èr líng líng líng	MBT-2000
mbt sān líng líng líng	MBT-3000
model yl	Model YL
mpeg sì yīn pín	MPEG-4音频
n m sān u bā dl	N_m3u8DL
nosql shù jù kù	NoSQL数据库
python jiǎo běn	Python脚本
python yǔ yán	Python语言
qín plus dm	秦PLUS DM
qín plus ev	秦PLUS EV
qwen sān vl	Qwen3-VL
skyreels	SkyReels
switch bǎn běn	Switch版本
taobao gòu wù	Taobao购物
téng zi f bú èr xióng	藤子·F·不二雄
tesla tè sī lā	Tesla特斯拉
type c jiē kǒu	Type-C接口
type jiǔ jiǔ a	Type-99A
type jiǔ jiǔ b	Type-99B
wechat zhī fù	WeChat支付
windows bǎn	Windows版
windows duān	Windows端
zhì néng abc shū rù fǎ	智能ABC输入法
zhōu kān shào nián jump	周刊少年Jump
all in ai	all in AI
android bǎn běn	Android版本
android xì tǒng	Android系统
android yìng yòng	Android应用
bǎo shí jié taycan	保时捷Taycan
bō tè kǎ sī d ài sī	波特卡斯·D·艾斯
capslock jiàn	CapsLock键
chromium xì	Chromium系
city bù city	city不city
ipad mini	iPad mini
iphone liù s	iPhone 6S
iphone sān g	iPhone 3G
iphone se	iPhone SE
iphone sì s	iPhone 4S
iphone wǔ c	iPhone 5C
iphone wǔ s	iPhone 5S
iphone xr	iPhone XR
iphone xs	iPhone XS
iphone yī èr	iPhone 12
iphone yī liù	iPhone 16
iphone yī qī	iPhone 17
iphone yī qī	iPhone 17
iphone yī sān	iPhone 13
iphone yī sì	iPhone 14
iphone yī wǔ	iPhone 15
iphone yī yī	iPhone 11
j r r tuō ěr jīn	J·R·R·托尔金
kindle yuè dú qì	Kindle阅读器
macbook diàn nǎo	MacBook电脑
notepad	Notepad++
notepad	Notepad++
oneplus shǒu jī	OnePlus手机
qiáo zhì r r mǎ dīng	乔治·R·R·马丁
sān wú marblue	三无Marblue
surface píng bǎn	Surface平板
telegram qún	Telegram群
windows bǎn běn	Windows版本
windows gēng xīn	Windows更新
windows yī yī	Windows11
yǎng wàng u qī phev	仰望U7 PHEV
yī password	1Password
yi vision	Yi-Vision
zhì néng abc shuāng pīn fāng àn	智能ABC双拼方案
bā líng líng w clips	800w clips
backspace jiàn	Backspace键
bǎo shí jié cayenne	保时捷Cayenne
gitignore	.gitignore
iphone air	iPhone Air
iphone sān gs	iPhone 3GS
lǐ xiǎng l bā ultra	理想L8 Ultra
lǐ xiǎng l jiǔ ultra	理想L9 Ultra
lǐ xiǎng l qī ultra	理想L7 Ultra
ly yī jiàn zài jī guāng wǔ qì	LY-1舰载激光武器
minimax m sān	MiniMax-M3
muse image	Muse Image
muse spark	Muse Spark
qín plus dm i	秦PLUS DM-i
sān líng líng w clips	300w clips
tè sī lā model s	特斯拉Model S
tè sī lā model sān	特斯拉Model 3
tè sī lā model x	特斯拉Model X
tè sī lā model y	特斯拉Model Y
thinkpad jiàn pán	ThinkPad键盘
usb type a	USB Type-A
usb type b	USB Type-B
usb type c	USB Type-C
wǔ líng líng w clips	500w clips
xiǎo péng mona m líng sān	小鹏MONA M03
ào dí e tron gt	奥迪e-tron GT
bǎo shí jié panamera	保时捷Panamera
bluetooth ěr jī	Bluetooth耳机
bluetooth shè bèi	Bluetooth设备
gemini omni	Gemini Omni
gpt wǔ liù sol	GPT-5.6 Sol
gpt wǔ wǔ pro	GPT-5.5 Pro
hùn yuán èr líng think	混元2.0 Think
longcat èr líng	LongCat-2.0
loongarch jià gòu	LoongArch架构
pizzahut bì shèng kè	PizzaHut必胜客
qwen sān qī max	Qwen3.7-Max
tè sī lā model yl	特斯拉Model YL
thinkpad bǐ jì běn	ThinkPad笔记本
windows cāo zuò xì tǒng	Windows操作系统
wò ěr wò s jiǔ líng phev	沃尔沃S90 PHEV
yī líng líng líng w clips	1000w clips
apple mpeg sì	Apple MPEG-4
gpt wǔ liù luna	GPT-5.6 Luna
gpt wǔ sì mini	GPT-5.4 mini
javascript biān chéng	JavaScript编程
seedance èr wǔ	Seedance 2.5
sensenova v liù	SenseNova V6
accessibility	accessibility
gpt wǔ liù terra	GPT-5.6 Terra
iphone bā plus	iPhone 8 Plus
iphone liù plus	iPhone 6 Plus
iphone qī plus	iPhone 7 Plus
iphone xs max	iPhone XS Max
iphone yī èr pro	iPhone 12 Pro
iphone yī liù pro	iPhone 16 Pro
iphone yī qī pro	iPhone 17 Pro
iphone yī qī pro	iPhone 17 Pro
iphone yī sān pro	iPhone 13 Pro
iphone yī sì pro	iPhone 14 Pro
iphone yī wǔ pro	iPhone 15 Pro
iphone yī yī pro	iPhone 11 Pro
mimo v èr wǔ pro	MiMo-V2.5-Pro
tè lā fǎ ěr jiā d wǎ tiě ěr luó	特拉法尔加·D·瓦铁尔·罗
tè sī lā cybertruck	特斯拉Cybertruck
claude fable wǔ	Claude Fable 5
gemini sān wǔ pro	Gemini 3.5 Pro
gemini sān yī pro	Gemini 3.1 Pro
iphone liù s plus	iPhone 6S Plus
iphone yī èr mini	iPhone 12 Mini
iphone yī liù plus	iPhone 16 Plus
iphone yī sān mini	iPhone 13 Mini
iphone yī sì plus	iPhone 14 Plus
iphone yī wǔ plus	iPhone 15 Plus
kimi k èr qī code	Kimi K2.7-Code
amd liù sì x bā liù liù sì jià gòu	AMD64（X86_64)架构
amd liù sì x bā liù liù sì jià gòu	AMD64（X86_64)架构
claude opus sì bā	Claude Opus 4.8
claude opus sì wǔ	Claude Opus 4.5
claude sì liù opus	Claude 4.6 Opus
claude sonnet sì	Claude Sonnet 4
claude sonnet wǔ	Claude Sonnet 5
deepseek v sì pro	DeepSeek-V4-Pro
gpt wǔ wǔ instant	GPT-5.5 Instant
mistral large èr	Mistral Large 2
baichuan m sān plus	Baichuan-M3-Plus
claude haiku sì wǔ	Claude Haiku 4.5
gemini sān liù flash	Gemini 3.6 Flash
gemini sān wǔ flash	Gemini 3.5 Flash
gpt wǔ wǔ thinking	GPT-5.5 Thinking
mai code yī flash	MAI-Code-1-Flash
seedream wǔ líng pro	Seedream 5.0 Pro
claude sì liù sonnet	Claude 4.6 Sonnet
deepseek v sì flash	DeepSeek-V4-Flash
iphone yī èr pro max	iPhone 12 Pro Max
iphone yī liù pro max	iPhone 16 Pro Max
iphone yī qī pro max	iPhone 17 Pro Max
iphone yī qī pro max	iPhone 17 Pro Max
iphone yī sān pro max	iPhone 13 Pro Max
iphone yī sì pro max	iPhone 14 Pro Max
iphone yī wǔ pro max	iPhone 15 Pro Max
iphone yī yī pro max	iPhone 11 Pro Max
